Year,Month,INFLOW ,RESERVOIR STORAGE ,EVAPORATION,RESERVOIR LEVEL ,RELEASE (OUTFLOW),RELEASE (OUTFLOW)Predicted  Factor
1989,January,613.89,2.53,5.1,484.22,583.6,0.90149853
,February,640.2,1.84,-9.2,477.17,589.3,0.90439462
,March,785,0.79,-19.8,462.44,730.2,1.01397529
,April,1005.6,0.45,-19.5,455.66,1338.8,1.21092091
,May,1256.7,0.67,-20.4,460.13,1839.6,1.44274383
,June,1017.8,0.87,10.6,463.97,3373.8,1.26102447
,July,3259.5,2.71,25.4,486.02,2845.2,3.34313777
,August,2550.9,4.34,-13.4,499.42,1763,2.66409742
,September,1174.4,4.65,-16.9,501.61,1390,1.40399081
,October,753.5,4.28,-7.6,498.91,1151.4,1.02718266
,November,698.4,3.52,-4.1,493.01,1417.4,0.97578706
,December,665.4,2.61,-6.1,485.02,914.7,0.93700387
1990,January,610.5,1.81,6.1,476.86,594.2,0.89368151
,February,637.8,1.14,-9.1,468.28,597.7,0.89547298
,March,747.1,0.55,-19.9,457.76,731.1,0.97576201
,April,1119.8,0.4,-19.9,454.68,1337.9,1.31413868
,May,1775.6,0.53,-22.3,457.4,1839.9,1.91292695
,June,3460,0.92,15.1,464.75,3785.4,3.4986881
,July,4429.2,2.66,17.3,485.46,3053.6,4.40297766
,August,2767.4,4.58,-10.1,501.09,1718.9,2.86697424
,September,1129.7,4.66,-17.4,501.7,1378.5,1.3626623
,October,725.4,4.18,-10.3,498.18,1242.1,0.99794998
,November,658.7,3.49,-1.1,492.81,1304.6,0.94260241
,December,629.8,2.7,-5.4,485.86,878,0.90589966
1991,January,586.2,1.95,-2.1,478.33,564.4,0.86368943
,February,600,1.23,-5.3,469.71,576.9,0.86614171
,March,694,0.61,-16.6,458.86,687.6,0.93164351
,April,1204,0.42,-27.8,454.99,1436.1,1.38272024
,May,2134,1.15,-21.8,468.42,1840,2.24926337
,June,2946.5,2.09,-7.5,479.88,5826.1,3.01632863
,July,6826.4,2.79,3,486.75,3564,6.57945355
,August,3292.1,4.47,-9.8,500.37,1836.6,3.34626707
,September,1105.8,5.13,-16.4,504.98,1388.4,1.34465363
,October,731.4,4.6,-11.1,501.23,1226.4,1.00509738
,November,649.7,3.87,-4.3,495.78,1421.1,0.93332673
,December,614.4,2.72,6.2,486.05,752.1,0.9046195
1992,January,616.8,1.81,-0.1,476.92,539,0.89272287
,February,624.6,1.25,-5.7,469.88,636,0.88832783
,March,751.2,0.7,-17.2,460.86,768.3,0.98473726
,April,1396.4,0.8,-23,462.75,1466.6,1.5695301
,May,2006.7,1.32,-26.8,470.84,1839.8,2.12930064
,June,2228.7,2.75,-1.3,486.3,5012.9,2.37211785
,July,6742.1,3.83,-3.3,495.45,5391.1,6.50260175
,August,5125.5,5.24,-1.3,505.71,1817.5,5.03573526
,September,1257.8,5.76,-14.1,509.03,1444.5,1.48953158
,October,812.8,5.35,-7.9,506.42,1248.9,1.08733657
,November,718.6,4.59,-8.2,501.17,1416.8,0.99650747
,December,654.8,3.57,-0.7,493.47,910.2,0.94001097
1993,January,618.9,2.67,-1.7,485.59,631.8,0.89975319
,February,628,1.82,-4.3,477.02,608.6,0.89846082
,March,707.9,0.86,-20.2,463.86,736.2,0.94411786
,April,1275.5,0.46,-26.5,455.99,1489.4,1.45021644
,May,2179.3,0.2,-20.6,450.45,1840,2.2786459
,June,3737.7,0.4,-1.2,454.95,4381.7,3.7274675
,July,4505.2,1.16,-16.4,468.99,2509.2,4.42282774
,August,2256.8,2.5,15.6,484.5,1961.1,2.4147237
,September,1666.6,2.8,-18.5,487.34,1574.9,1.84037664
,October,793.6,2.61,-11.1,486.87,1202.6,1.04999777
,November,703.1,2.1,-8.6,481.89,1712.9,0.96605144
,December,640.4,1.59,-3.3,475.95,821.6,0.90990775
1994,January,613.1,1.03,-1.9,469.08,715,0.88117793
,February,611.4,0.88,-8.6,466.7,471,0.8705302
,March,721.8,0.9,-10.9,467.05,567.1,0.96919
,April,859.8,0.84,-28.1,466.05,1306.6,1.0758247
,May,1903,0.99,-21.6,468.4,1839.9,2.03816485
,June,4551,1.93,32.9,480.1,7951.4,4.52685975
,July,7489,4.69,37.5,503.32,4432.6,7.23604647
,August,4126.3,5.61,8,509.41,1700.7,4.13553201
,September,1349.6,6.23,-14.4,512.06,1551.1,1.57568421
,October,859.7,5.8,-8.6,510.62,1208.6,1.13279612
,November,749.6,5.34,-6,506.81,1417.5,1.03189976
,December,692.8,4.39,0.9,500.24,1081.8,0.98199629
1995,January,666.2,3.59,4.8,494.15,671.4,0.95691315
,February,680.7,2.67,-10.2,486.12,658.6,0.94733697
,March,800.8,2.02,-17.7,479.55,746.2,1.0437406
,April,1120,1.68,-25.3,475.94,1278.5,1.32437024
,May,1585.5,2.47,-22.2,484.2,1839.9,1.75971605
,June,3314.4,1.93,10.5,478.64,2495.3,3.37118979
,July,3351,3.78,34,495.62,4692.4,3.44385722
,August,4389.6,5.94,9.3,510.65,2905.1,4.378804
,September,2616.9,5.81,-15.3,509.82,1508.3,2.73103567
,October,963.8,5.54,-9.4,508.13,1324.3,1.22508908
,November,813.5,4.94,-6.2,504.1,1470.2,1.0878053
,December,742.8,4.15,-1.1,498.48,1176.2,1.02405573
1996,January,719.8,3.28,7.5,491.52,747.3,1.00671532
,February,771.6,2.78,-10.6,487.14,841.7,1.03079934
,March,1165.3,2.54,-21.3,484.81,860,1.37712656
,April,1399.8,1.85,-25.7,477.8,1648.9,1.58112675
,May,2333.1,1.55,-3.2,474.19,4548,2.45589499
,June,6949,2.04,0.6,479.83,6924.5,6.68335558
,July,6195.1,3.11,41.2,490.06,6282.5,6.04669161
,August,5972.5,4.99,-6.6,504.47,1889.6,5.80300187
,September,1617.4,5.13,-7.1,505.46,1511.4,1.82272231
,October,983.7,4.65,-9.2,502.08,1341.6,1.23840643
,November,831.3,4,-7.6,497.31,1532,1.09689886
,December,744.9,3.28,-3.4,491.51,1155.5,1.01776886
1997,January,703.1,2.54,-3.6,484.82,753.6,0.97397562
,February,672.8,1.7,-9.2,476.09,617.2,0.93330244
,March,732.2,0.84,-11.3,463.97,693.6,0.97608342
,April,979,0.76,-25.1,462.52,1165.2,1.18553752
,May,1385.4,0.99,-18,466.25,1840,1.56752755
,June,2555.5,3.06,4.9,489.65,2926.8,2.6801962
,July,4685.1,4.45,21.9,500.68,3754.6,4.65421363
,August,3464,5.87,-11.3,510.21,1773.9,3.50997591
,September,1328,6.15,-5.3,512,1476.9,1.56573525
,October,966.1,5.63,-5.3,508.69,1238.3,1.23213939
,November,798,5.16,1.5,505.65,1492.3,1.0833267
,December,717.2,4.43,-4.9,500.54,1190.4,0.99822389
1998,January,674.2,3.5,-1.7,493.39,724,0.95652384
,February,681.4,2.69,-3.7,486.27,694.8,0.95518577
,March,817.3,1.73,-20.1,476.38,895.4,1.05372503
,April,1530.9,1.37,-24.2,471.88,1644.3,1.69801963
,May,2380.6,0.91,-10.3,465.81,3669.4,2.48514711
,June,5992.6,0.78,11.6,463.71,6088.8,5.80880836
,July,5348.5,1.78,12.6,478.49,3621.9,5.23238504
,August,3340.6,3.12,11.6,491.84,2457.3,3.40664624
,September,2174.1,4.09,-0.5,499.56,1529.1,2.33359551
,October,1551.3,4.09,-11,499.54,1317.6,1.75289759
,November,949.1,3.6,-7.6,495.76,1730.8,1.20308276
,December,829.8,2.93,-1.4,490.19,1343.8,1.09627269
1999,January,751.4,2.13,-4.3,482.51,852.7,1.01534161
,February,745.9,1.38,-13.5,473.31,731.4,0.99318416
,March,766,0.73,-23.5,462.72,726.7,0.99270507
,April,977.4,0.75,-24,463.18,1481.6,1.18571633
,May,2008.6,0.72,-19.3,462.44,1839.9,2.13281684
,June,3877.4,0.81,0.7,464.09,5107.5,3.86392689
,July,5096.3,3.07,4.6,491.35,3356.7,5.00333715
,August,3083.4,5.8,-10.7,511.06,1781.3,3.16327076
,September,1360.6,6.23,-18.2,512.06,1426.6,1.58159621
,October,827.8,5.91,-11.2,511.78,1281.8,1.10171733
,November,717.2,5.52,-7.3,509.29,1378.1,1.00276034
,December,659.9,4.71,-2.5,503.88,964.8,0.95105433
2000,January,629.3,4.05,0.6,499.26,614.3,0.92259931
,February,624.2,3.39,-11.3,494.17,570.5,0.90077887
,March,676.3,2.53,-22.9,487.53,689.5,0.93029193
,April,1166.7,2.17,-23.8,482.98,1237.2,1.37403543
,May,1554.1,1.88,-15.4,479.73,1840,1.73473958
,June,3739.6,2.49,24.4,486.12,4951.4,3.78069567
,July,5354.3,3.94,-1.8,498.43,3226.8,5.23794788
,August,2960,5.69,-13.3,510.36,1620.9,3.04705291
,September,976.3,5.92,-19.6,511.84,1497.6,1.22834204
,October,755.1,5.64,-10.2,510.01,1151.4,1.03486046
,November,668.3,5.2,-7.8,507.24,1422.1,0.95577684
,December,622.5,4.49,-4.7,502.35,744.1,0.91319105
2001,January,592.4,3.66,-4.4,496.24,764,0.88093954
,February,575.1,2.65,-10.4,487.77,402.3,0.85171137
,March,629.1,1.67,-14,477.16,495.5,0.88883101
,April,764.7,1.47,-24.9,474.61,976.5,0.99892811
,May,1306,1.1,-6.4,469.04,1797,1.50962994
,June,2618.4,1.02,14,467.78,3194.3,2.73045078
,July,5022.2,1.83,9.2,479.79,2779.2,4.93138539
,August,2501.3,3.83,-19.1,497.53,1683.1,2.61071543
,September,833.2,4.89,-13.1,505.19,1367.6,1.09898509
,October,696.3,4.74,-9.2,504.12,1202,0.97721722
,November,637.5,4.21,-8.1,500.44,1272,0.92158939
,December,601,3.52,-0.7,495.14,732.7,0.89193064
2002,January,585.5,2.75,-0.9,488.64,552.9,0.87227429
,February,595.3,2.43,-5.2,485.58,530.9,0.87410773
,March,706.4,1.88,-22.1,479.69,625.2,0.95261134
,April,1055.9,1.86,-19.5,479.53,1261.6,1.27475748
,May,1703.8,1.81,-17.1,478.87,1839.9,1.86904857
,June,3621.8,3.09,-26.5,491.59,2708.9,3.62193089
,July,3274.5,4.5,16.7,502.46,4715.7,3.36053106
,August,4430.4,5.72,12.5,510.53,1982.9,4.41926878
,September,1691.7,5.81,-15.9,511.15,1500.7,1.88566125
,October,870.4,5.78,-9.7,510.92,1303.8,1.14156162
,November,747.3,5.33,-7.8,508.08,1521.7,1.02869623
,December,686.5,4.49,0.5,502.36,1027.6,0.97736191
2003,January,652,3.67,-3.2,496.32,698.7,0.93678737
,February,653.1,2.95,-9.7,490.33,590.8,0.92583903
,March,738.9,2.09,-19.9,482.17,707.8,0.98663717
,April,1186.8,2.19,-26.7,483.13,1217.9,1.38936983
,May,1485.5,1.89,-25.8,479.82,1839.9,1.66077547
,June,3507.7,2.56,27.2,486.86,7558.9,3.57237256
,July,8225,4.46,8.1,502.13,3935.9,7.87564548
,August,3659.2,5.6,2.9,509.79,2204.2,3.70329374
,September,1922.7,5.73,-15,510.59,1504.8,2.09730769
,October,888.9,5.21,-9.2,507.3,1234,1.15593095
,November,772.7,4.68,-5.1,503.69,1529.5,1.05115754
,December,715.4,3.87,3.1,497.89,1121.2,1.00288999
2004,January,690.6,3.15,-7.5,492.13,696.1,0.96395783
,February,683.6,2.12,-15.8,482.46,586.6,0.94079256
,March,704.1,1.94,-17.3,480.41,749.8,0.95629836
,April,1173.9,2.33,-24.5,484.54,1064.2,1.38109219
,May,1084,2.66,-16.4,487.84,1840.1,1.31036454
,June,2831.2,2.72,-12,488.37,2117,2.91252822
,July,3456.2,4.5,9.2,502.46,2537.3,3.51842986
,August,2462,5.8,-15.4,511.06,1756.6,2.59018816
,September,867.5,5.91,-1,511.74,1379.3,1.14909369
,October,866.1,5.54,-9.5,509.41,1157.4,1.13656036
,November,710.7,5.09,-7.3,506.54,1602.4,0.99447919
,December,636.1,4.3,0.2,501.08,721.3,0.92989078
2005,January,604.2,3.58,5,495.62,527,0.90146102
,February,623.4,2.68,-2.8,487.97,693,0.90431042
,March,1037.3,2,-20.7,481.11,778.3,1.25768066
,April,1180.4,1.56,-22.8,475.95,1496.1,1.3821811
,May,2045,1.75,-24.9,478.12,1839.8,2.17182557
,June,2567,1.9,25.2,479.93,8942.3,2.70494248
,July,10267.8,2.46,-2.6,485.83,3928.7,9.71780988
,August,3662.7,4.29,29.1,501.02,3087,3.72765247
,September,2779.3,4.55,-14.7,502.82,1502.5,2.87399197
,October,984.8,3.99,-9.7,498.79,1247.7,1.23591359
,November,835.4,3.52,-7.1,495.17,1576.1,1.09921682
,December,753.9,2.74,-2.9,488.53,1201.6,1.02392588
2006,January,714,2.07,-8.4,481.98,808.4,0.97626213
,February,710.3,1.45,-7.7,474.33,640,0.96774133
,March,768.3,0.82,-22.5,464.38,654.7,0.99713098
,April,920.6,1.22,-27.2,470.89,1366.8,1.13609804
,May,1882.6,1.36,-16.9,473.02,1839.9,2.02820192
,June,3192.4,1.69,9.2,477.48,5738.1,3.25721583
,July,6562.5,3.53,28.3,495.26,5370.1,6.37244451
,August,5073.3,5.46,5.3,508.91,1699.2,4.99764576
,September,1374.9,5.46,-11.2,508.86,1485.6,1.59928886
,October,908.5,5.18,-8.1,507.07,1300.9,1.17485492
,November,783.1,4.79,-3.6,504.47,1491,1.06294927
,December,718.4,4.02,-5.8,499.02,1100.8,0.99686442
2007,January,672.7,3.14,3.2,492.01,677.9,0.95916736
,February,680.7,2.32,-6.7,484.44,672.8,0.94963024
,March,790.2,1.34,-21.6,472.72,874.7,1.02439842
,April,1365.2,1.07,-24.9,468.69,1376.9,1.54330199
,May,1641.6,0.36,-2.6,468.3,1839.9,1.819222
,June,4568.6,0.35,11.8,454.55,5486.2,4.50075295
,July,4843.8,1.68,9,477.34,4382.3,4.76627084
,August,4104.7,4.13,-9.6,499.91,2283.9,4.08852721
,September,2014.9,5.21,-17.5,507.3,1500.8,2.17604795
,October,871.9,5.39,-9.7,508.51,1298.4,1.14086791
,November,760.5,5.32,-6.6,507.95,1434.1,1.0419693
,December,711.8,4.86,-3.2,504.76,1105.1,0.99848986
2008,January,674.5,4.08,-3.8,499.52,699.2,0.95932612
,February,675.3,3.78,-14.7,497.15,625.1,0.946234
,March,806.4,3.2,-14.8,492.56,720.4,1.06218976
,April,1132,3.49,-20.6,494.95,1377.7,1.35541165
,May,1809.1,2.82,-15.9,491.69,1867.1,1.97646084
,June,376.06,2.53,12.3,489.12,5593.4,0.69533131
,July,2059.04,4.16,10.4,502.19,4463.7,2.2421897
,August,2053.68,5.46,-8.6,510.81,2296.7,2.22386548
,September,352.04,5.36,-17.8,510.18,1532.8,0.65800084
,October,502.54,4.94,-10.2,507.51,1239.6,0.80156712
,November,842.57,4.54,-5.8,504.86,1520.5,1.11491064
,December,732,4.13,-3.6,501.96,1101.4,1.01382571
2009,January,612,3.57,-1.5,497.5,733.38,0.90278435
,February,598.3,2.74,-12.3,490.95,703.84,0.8731216
,March,981.5,2.41,-20.4,488.02,789.26,1.21217927
,April,1319.08,2.06,-26.8,484.34,1436.8,1.51085766
,May,1735.37,1.35,-19.3,475.84,2486.17,1.89294167
,June,1391.58,1.65,13.4,479.63,6138.03,1.61727705
,July,8342.3,3.04,19.4,493.64,5039.4,7.98785244
,August,2078.63,4.05,-10.1,505.17,2589.34,2.23967819
,September,1368.4,4.45,-19.7,504.18,1578.2,1.57980683
,October,861.26,3.79,-9.6,499.56,1289.4,1.12342425
,November,879.3,3.47,-5.4,497.06,1634.9,1.14243821
,December,759.7,2.69,-4.1,490.53,1123.4,1.02923833
